Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Viet Nam,2.78132276,3.902796821,4.803347816,7.027592527,11.93948286,8.585965855,9.713080637,8.270096758,6.141214403,4.922663457,4.16392408,3.977335453,3.992687051,3.6660123,3.544081073,3.390403639,3.616000904,8.654717714,9.663039055,7.168819889,5.434739293,4.304874349,4.278322877,4.164545173,3.940861891,4.931907733,4.900893029,5.011487217,4.998283196,4.821074861,4.558361968,4.273145662,4.362405986,4.305159287
China,0.966308311,1.138837732,2.613162193,6.186882076,5.987186165,4.8808632,4.651812663,4.725343843,4.435501024,3.748981237,3.475125903,3.512988539,3.609081135,3.487418899,3.483641535,4.554263482,4.508600503,4.400983342,3.733610711,2.568894307,4.003544569,3.708806517,2.827105336,3.039854863,2.55924761,2.192177731,1.555636999,1.349123696,1.693894284,1.310715932,1.723175549,1.930786223,1.063673488,0.240113531
Indonesia,1.029764943,1.27077228,1.387988834,1.268300646,1.19225193,2.15007984,2.724197886,2.167796852,-0.252290448,-1.332573541,-2.757439934,-1.855686193,0.074151638,-0.25425632,0.73824398,2.916114833,1.347942641,1.603010572,1.826329024,0.90391942,2.025179146,2.302984294,2.309780319,2.551356334,2.819972604,2.297616394,0.487372471,2.019489198,1.814289793,2.233362043,1.81058402,1.787855631,1.872676381,1.610733602
"Korea, Rep.",0.368992954,0.440106764,0.281724287,0.211961467,0.245157766,0.438966359,0.456039044,0.579389363,1.562406112,2.155979354,1.997537615,1.190947724,0.872877922,0.997559671,1.676098034,1.45932018,0.869896781,0.752754048,1.068183262,0.955768594,0.830430228,0.779787887,0.743001114,0.931438278,0.624700012,0.279944816,0.807125615,1.103640251,0.7060848,0.583393861,0.533043338,1.213154999,1.496173783,0.886178382
Japan,0.05668842,0.035204103,0.069224055,0.004638268,0.017771963,0.00074768,-0.000775961,0.055358119,0.061293304,0.318821542,0.215124715,0.112602474,0.27630407,0.194079344,0.153847736,0.113001254,-0.052087901,0.472322727,0.482208589,0.231146375,0.12920449,-0.013648274,0.008720202,0.204293384,0.403354543,0.118161988,0.818481615,0.381319638,0.501685482,0.780785313,1.237931782,0.695725962,1.127819293,0.474344094


